EMPLOYEE_NUMBER,EMPLOYEE_NAME,COUNTRY,LOCATION,ADDRESS,CITY,CITY_EX,STATE,ZIP_CODE,COUNTRY_ABBR,COUNTRY_ABBR_EX,COUNTRY_CODE,WORK_TELEPHONE,MOBILE_NO,DESIGNATION,GRADE,BUSINESS_UNIT,DEPT,COMPANY,user_id_col_name_in_AD,MANAGER_ID,MANAGER
12161,Veena Venom,India,Mumbai,1269 Azad Hind Marg,Mumbai,Mumbai,MH,799859,IN,IN,91,,(91) 566-121-3290,"Senior Director, Political Affairs",G205-17,OTHER,PA,example org Inc.,VEEVEN18860,JAGJAG29991,Jaggi Jaggery
12162,Jaggi Jaggery,India,Kolkata,1855 MKG Street ,Kolkata,Kolkata,WB,714101,IN,IN,91,(91) 256-197-2900,(91) 566-121-3291,"Associate Manager, Statistical Analysis",G210-17,OTHER,SA,example org Inc.,JAGJAG29991,CHICHE76543,Chinni Cheronobil
12163,Chinni Cheronobil,India,Hyderabad,1070 Hitech City Road,Hyderabad,Hyderabad,TS,500057,IN,IN,91,,(91) 566-121-3292,"Associate Director, Machine Learning",G210-11,OTHER,ML,example org Inc.,CHICHE76543,JAGJAG29991,Jaggi Jaggery
12164,Bankim Das,India,Mumbai,1550 Azad Hind Marg,Mumbai,Mumbai,MH,887057,IN,IN,91,,(91) 566-121-3293,"Senior Manager, ITES",G208-16,OTHER,ITES,example org Inc.,BANDAS19437,CHICHE76543,Chinni Cheronobil
12165,Raksha Patel,India,Kolkata,1855 MKG Street ,Kolkata,Kolkata,WB,714101,IN,IN,91,,(91) 966-145-9218,"Senior Engineer, ITES",G209-18,OTHER,ITES,example org Inc.,RAKPAT94613,CHICHE76543,Chinni Cheronobil
12166,Bumba Ban,India,Hyderabad,1070 Hitech City Road,Hyderabad,Hyderabad,TS,500057,IN,IN,91,,(91) 966-145-9219,"Manager, Statistical Analysis",G206-18,OTHER,SA,example org Inc.,BUMBAN84867,CHICHE76543,Chinni Cheronobil
12167,Zuangh Luu,India,Mumbai,1855 MKG Street ,Mumbai,Mumbai,MH,728849,IN,IN,91,,(91) 966-145-9220,"Manager, Data Science",G205-19,OTHER,DS,example org Inc.,ZUALUU14337,CHICHE76543,Chinni Cheronobil
12168,Jigsaw Puzzle,India,Kolkata,1434 Azad Hind Marg,Kolkata,Kolkata,WB,714101,IN,IN,91,,(91) 966-145-9221,"Practice Head, Data Science",G206-15,OTHER,DS,example org Inc.,JIGPUZ75238,JAGJAG29991,Jaggi Jaggery
12169,Cherry Spits,India,Hyderabad,1070 Hitech City Road,Hyderabad,Hyderabad,TS,500057,IN,IN,91,,(91) 966-145-9222,"Senior Manager, App Development",G206-18,OTHER,AD,example org Inc.,CHERSPI47040,JAGJAG29991,Jaggi Jaggery
12170,Narendra Dang,India,Mumbai,1065 Gandhi Marg,Mumbai,Mumbai,MH,494141,IN,IN,91,(91) 566-121-3290,(91) 966-145-9223,"Senior Manager, DevOps",G202-18,OTHER,DEVOPS,example org Inc.,NARDAN49344,JAGJAG29991,Jaggi Jaggery
